ADMIN_variable_group,ADMIN_variable,ADMIN_classification,ADMIN_category_code,ADMIN_category_name,ADMIN_legend_start_str,EDIT_THIS_legend_str_1,EDIT_THIS_legend_str_2,EDIT_THIS_legend_str_3,OLD_legend_str_3
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-029,Africa: South and Eastern Africa: Other South and Eastern Africa,{PERCENTAGE}%,of people in {location},were,born in other South and Eastern African countries,africa: south and eastern africa: other south and eastern africa
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-030,Africa: Africa not otherwise specified,{PERCENTAGE}%,of people in {location},were,born in Africa (country not specified),africa: africa not otherwise specified
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-031,Middle East and Asia: Middle East: Iran,{PERCENTAGE}%,of people in {location},were,born in Iran,middle east and asia: middle east: iran
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-032,Middle East and Asia: Middle East: Iraq,{PERCENTAGE}%,of people in {location},were,born in Iraq,middle east and asia: middle east: iraq
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-033,Middle East and Asia: Middle East: Other Middle East,{PERCENTAGE}%,of people in {location},were,born in other Middle Eastern countries,middle east and asia: middle east: other middle east
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-034,Middle East and Asia: Eastern Asia: China,{PERCENTAGE}%,of people in {location},were,born in China,middle east and asia: eastern asia: china
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-035,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),{PERCENTAGE}%,of people in {location},were,born in Hong Kong,middle east and asia: eastern asia: hong kong (special administrative region of china)
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-036,Middle East and Asia: Eastern Asia: Other Eastern Asia,{PERCENTAGE}%,of people in {location},were,born in other East Asian countries,middle east and asia: eastern asia: other eastern asia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-037,Middle East and Asia: Southern Asia: Afghanistan,{PERCENTAGE}%,of people in {location},were,born in Afghanistan,middle east and asia: southern asia: afghanistan
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-038,Middle East and Asia: Southern Asia: India,{PERCENTAGE}%,of people in {location},were,born in India,middle east and asia: southern asia: india
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-039,Middle East and Asia: Southern Asia: Pakistan,{PERCENTAGE}%,of people in {location},were,both in Pakistan,middle east and asia: southern asia: pakistan
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-040,Middle East and Asia: Southern Asia: Bangladesh,{PERCENTAGE}%,of people in {location},were,born in Bangladesh,middle east and asia: southern asia: bangladesh
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-041,Middle East and Asia: Southern Asia: Sri Lanka,{PERCENTAGE}%,of people in {location},were,born in Sri Lanka,middle east and asia: southern asia: sri lanka
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-042,Middle East and Asia: Southern Asia: Other Southern Asia,{PERCENTAGE}%,of people in {location},were,born in other Southern Asian countries,middle east and asia: southern asia: other southern asia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-043,Middle East and Asia: South-East Asia: Philippines,{PERCENTAGE}%,of people in {location},were,born in the Phillipines,middle east and asia: south-east asia: philippines
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-044,Middle East and Asia: South-East Asia: Malaysia,{PERCENTAGE}%,of people in {location},were,born in Malaysia,middle east and asia: south-east asia: malaysia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-045,Middle East and Asia: South-East Asia: Singapore,{PERCENTAGE}%,of people in {location},were,born in Singapore,middle east and asia: south-east asia: singapore
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-046,Middle East and Asia: South-East Asia: Other South-East Asia,{PERCENTAGE}%,of people in {location},were,born in other South-East Asian countries,middle east and asia: south-east asia: other south-east asia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-047,Middle East and Asia: Central Asia,{PERCENTAGE}%,of people in {location},were,born in Centra Asia,middle east and asia: central asia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-048,The Americas and the Caribbean: North America: United States,{PERCENTAGE}%,of people in {location},were,born in the United States,the americas and the caribbean: north america: united states
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-049,The Americas and the Caribbean: North America: Canada,{PERCENTAGE}%,of people in {location},were,born in Canada,the americas and the caribbean: north america: canada
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-050,The Americas and the Caribbean: North America: Other North America,{PERCENTAGE}%,of people in {location},were,born in other North American countries,the americas and the caribbean: north america: other north america
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-051,The Americas and the Caribbean: Central America: All Central American countries,{PERCENTAGE}%,of people in {location},were,born in Central America,the americas and the caribbean: central america: all central american countries
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-052,The Americas and the Caribbean: South America: All South American countries,{PERCENTAGE}%,of people in {location},were,born in South America,the americas and the caribbean: south america: all south american countries
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-053,The Americas and the Caribbean: The Caribbean: Jamaica,{PERCENTAGE}%,of people in {location},were,born in Jamaica,the americas and the caribbean: the caribbean: jamaica
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-054,The Americas and the Caribbean: The Caribbean: Other Caribbean,{PERCENTAGE}%,of people in {location},were,born in other Caribbean countries,the americas and the caribbean: the caribbean: other caribbean
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-055,Antarctica and Oceania: Australasia: Australia,{PERCENTAGE}%,of people in {location},were,born in Australia,antarctica and oceania: australasia: australia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-056,Antarctica and Oceania: Australasia: New Zealand,{PERCENTAGE}%,of people in {location},were,born in New Zealand,antarctica and oceania: australasia: new zealand
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-057,Antarctica and Oceania: Australasia: Other Australasia,{PERCENTAGE}%,of people in {location},were,both in other Australiasian countries,antarctica and oceania: australasia: other australasia
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-058,Antarctica and Oceania: Other Oceania and Antarctica,{PERCENTAGE}%,of people in {location},were,born in other Oceanian countries or Antartica ,antarctica and oceania: other oceania and antarctica
Population,Country of birth,country_of_birth_60a,country_of_birth_60a-059,Other,{PERCENTAGE}%,of people in {location},were,both in other countries,other
Population,Passports held,passports_all_4a,passports_all_4a-001,UK passport,{PERCENTAGE}%,of people in {location},have,a UK passport,uk passport
Population,Passports held,passports_all_4a,passports_all_4a-002,Non-UK passport,{PERCENTAGE}%,of people in {location},have,a non-UK passport,non-uk passport
Population,Passports held,passports_all_4a,passports_all_4a-003,No passport held,{PERCENTAGE}%,of people in {location},have,no passport,no passport held
Population,Passports held,passports_all_13a,passports_all_13a-001,Europe: United Kingdom,{PERCENTAGE}%,of people in {location},have,a UK passport,europe: united kingdom
Population,Passports held,passports_all_13a,passports_all_13a-002,Europe: Ireland,{PERCENTAGE}%,of people in {location},have,an Irish passport,europe: ireland
Population,Passports held,passports_all_13a,passports_all_13a-003,Europe: Other EU countries,{PERCENTAGE}%,of people in {location},have,a passport from another EU country,europe: other eu countries
Population,Passports held,passports_all_13a,passports_all_13a-004,Europe: Non-EU countries,{PERCENTAGE}%,of people in {location},have,a passport from a non-EU European country,europe: non-eu countries
Population,Passports held,passports_all_13a,passports_all_13a-005,Africa,{PERCENTAGE}%,of people in {location},have,an African passport,africa
Population,Passports held,passports_all_13a,passports_all_13a-006,Middle East and Asia,{PERCENTAGE}%,of people in {location},have,a Middle Eastern or Asian passport,middle east and asia
Population,Passports held,passports_all_13a,passports_all_13a-007,North America and the Caribbean,{PERCENTAGE}%,of people in {location},have,a North American or Caribbean passport,north america and the caribbean
Population,Passports held,passports_all_13a,passports_all_13a-008,Central America,{PERCENTAGE}%,of people in {location},have,a Central American passport,central america
Population,Passports held,passports_all_13a,passports_all_13a-009,South America,{PERCENTAGE}%,of people in {location},have,a South American passport,south america
Population,Passports held,passports_all_13a,passports_all_13a-010,"Antarctica and Oceania, including Australasia",{PERCENTAGE}%,of people in {location},have,a passport from Antartica and Oceania (including Australia),"antarctica and oceania, including australasia"
Population,Passports held,passports_all_13a,passports_all_13a-011,British Overseas Territories,{PERCENTAGE}%,of people in {location},have,a passport from the British Overseas Territories,british overseas territories
Population,Passports held,passports_all_13a,passports_all_13a-012,No passport held,{PERCENTAGE}%,of people in {location},have,no passport,no passport held
Population,Passports held,passports_all_18a,passports_all_18a-001,Europe: United Kingdom,{PERCENTAGE}%,of people in {location},have,a UK passport,europe: united kingdom
Population,Passports held,passports_all_18a,passports_all_18a-002,Europe: Ireland,{PERCENTAGE}%,of people in {location},have,an Irish passport,europe: ireland
Population,Passports held,passports_all_18a,passports_all_18a-003,Europe: Other Europe: EU Member countries,{PERCENTAGE}%,of people in {location},have,a passport from another EU country,europe: other europe: eu member countries
Population,Passports held,passports_all_18a,passports_all_18a-004,Europe: Other Europe: Rest of Europe,{PERCENTAGE}%,of people in {location},have,a passport from a non-EU European country,europe: other europe: rest of europe
Population,Passports held,passports_all_18a,passports_all_18a-005,Africa: North Africa,{PERCENTAGE}%,of people in {location},have,a North African passport,africa: north africa
Population,Passports held,passports_all_18a,passports_all_18a-006,Africa: Central and Western Africa,{PERCENTAGE}%,of people in {location},have,a Central or West African passport,africa: central and western africa
Population,Passports held,passports_all_18a,passports_all_18a-007,Africa: South and Eastern Africa,{PERCENTAGE}%,of people in {location},have,a South or East African passport,africa: south and eastern africa
Population,Passports held,passports_all_18a,passports_all_18a-008,Middle East and Asia: Middle East,{PERCENTAGE}%,of people in {location},have,a Middle Eastern passport,middle east and asia: middle east
Population,Passports held,passports_all_18a,passports_all_18a-009,Middle East and Asia: Eastern Asia,{PERCENTAGE}%,of people in {location},have,an East Asian passport,middle east and asia: eastern asia
Population,Passports held,passports_all_18a,passports_all_18a-010,Middle East and Asia: Southern Asia,{PERCENTAGE}%,of people in {location},have,a South Asian passport,middle east and asia: southern asia
Population,Passports held,passports_all_18a,passports_all_18a-011,Middle East and Asia: South-East Asia,{PERCENTAGE}%,of people in {location},have,a South-East Asian passport,middle east and asia: south-east asia
Population,Passports held,passports_all_18a,passports_all_18a-012,Middle East and Asia: Central Asia,{PERCENTAGE}%,of people in {location},have,a Central Asian passport,middle east and asia: central asia
Population,Passports held,passports_all_18a,passports_all_18a-013,The Americas and the Caribbean: North America and the Caribbean,{PERCENTAGE}%,of people in {location},have,a North American or Caribbean passport,the americas and the caribbean: north america and the caribbean
Population,Passports held,passports_all_18a,passports_all_18a-014,The Americas and the Caribbean: Central and South America,{PERCENTAGE}%,of people in {location},have,a Central or South American passport,the americas and the caribbean: central and south america
Population,Passports held,passports_all_18a,passports_all_18a-015,"Antarctica and Oceania, including Australasia",{PERCENTAGE}%,of people in {location},have,a passport from Antartica and Oceania (including Australasia),"antarctica and oceania, including australasia"
Population,Passports held,passports_all_18a,passports_all_18a-016,British Overseas Territories,{PERCENTAGE}%,of people in {location},have,a passport from the British Overseas Territories,british overseas territories
Population,Passports held,passports_all_18a,passports_all_18a-017,No passport held,{PERCENTAGE}%,of people in {location},have,no passport,no passport held
Population,Passports held,passports_all_27a,passports_all_27a-001,Europe: United Kingdom,{PERCENTAGE}%,of people in {location},have,a UK passport,europe: united kingdom
Population,Passports held,passports_all_27a,passports_all_27a-002,Europe: Ireland,{PERCENTAGE}%,of people in {location},have,an Irish passport,europe: ireland
Population,Passports held,passports_all_27a,passports_all_27a-003,Europe: Other Europe: EU Member countries: France,{PERCENTAGE}%,of people in {location},have,a French passport,europe: other europe: eu member countries: france
Population,Passports held,passports_all_27a,passports_all_27a-004,Europe: Other Europe: EU Member countries: Germany,{PERCENTAGE}%,of people in {location},have,a German passport,europe: other europe: eu member countries: germany
Population,Passports held,passports_all_27a,passports_all_27a-005,Europe: Other Europe: EU Member countries: Italy,{PERCENTAGE}%,of people in {location},have,an Italian passport,europe: other europe: eu member countries: italy
Population,Passports held,passports_all_27a,passports_all_27a-006,Europe: Other Europe: EU Member countries: Portugal,{PERCENTAGE}%,of people in {location},have,a Portugese passport,europe: other europe: eu member countries: portugal
Population,Passports held,passports_all_27a,passports_all_27a-007,Europe: Other Europe: EU Member countries: Spain,{PERCENTAGE}%,of people in {location},have,a Spanish passport,europe: other europe: eu member countries: spain
Population,Passports held,passports_all_27a,passports_all_27a-008,Europe: Other Europe: EU Member countries: Lithuania,{PERCENTAGE}%,of people in {location},have,a Lithuanian passport,europe: other europe: eu member countries: lithuania
Population,Passports held,passports_all_27a,passports_all_27a-009,Europe: Other Europe: EU Member countries: Poland,{PERCENTAGE}%,of people in {location},have,a Polish passport,europe: other europe: eu member countries: poland
Population,Passports held,passports_all_27a,passports_all_27a-010,Europe: Other Europe: EU Member countries: Romania,{PERCENTAGE}%,of people in {location},have,a Romanian passport,europe: other europe: eu member countries: romania
Population,Passports held,passports_all_27a,passports_all_27a-011,Europe: Other Europe: EU Member countries: Other EU countries,{PERCENTAGE}%,of people in {location},have,a passport from another EU country,europe: other europe: eu member countries: other eu countries
Population,Passports held,passports_all_27a,passports_all_27a-012,Europe: Other Europe: Rest of Europe: Turkey,{PERCENTAGE}%,of people in {location},have,a Turkish passport,europe: other europe: rest of europe: turkey
Population,Passports held,passports_all_27a,passports_all_27a-013,Europe: Other Europe: Rest of Europe: Other Europe,{PERCENTAGE}%,of people in {location},have,a passport from another non-EU European country,europe: other europe: rest of europe: other europe
Population,Passports held,passports_all_27a,passports_all_27a-014,Africa: North Africa,{PERCENTAGE}%,of people in {location},have,a North African passport,africa: north africa
Population,Passports held,passports_all_27a,passports_all_27a-015,Africa: Central and Western Africa,{PERCENTAGE}%,of people in {location},have,a Central or West African passport,africa: central and western africa
Population,Passports held,passports_all_27a,passports_all_27a-016,Africa: South and Eastern Africa,{PERCENTAGE}%,of people in {location},have,a South or East African passport,africa: south and eastern africa
Population,Passports held,passports_all_27a,passports_all_27a-017,Middle East and Asia: Middle East,{PERCENTAGE}%,of people in {location},have,a Middle Eastern passport,middle east and asia: middle east
Population,Passports held,passports_all_27a,passports_all_27a-018,Middle East and Asia: Eastern Asia,{PERCENTAGE}%,of people in {location},have,an East Asian passport,middle east and asia: eastern asia
Population,Passports held,passports_all_27a,passports_all_27a-019,Middle East and Asia: Southern Asia,{PERCENTAGE}%,of people in {location},have,a South Asian passport,middle east and asia: southern asia
Population,Passports held,passports_all_27a,passports_all_27a-020,Middle East and Asia: South-East Asia,{PERCENTAGE}%,of people in {location},have,a South-East Asian passport,middle east and asia: south-east asia
Population,Passports held,passports_all_27a,passports_all_27a-021,Middle East and Asia: Central Asia,{PERCENTAGE}%,of people in {location},have,a Central Asian passport,middle east and asia: central asia
Population,Passports held,passports_all_27a,passports_all_27a-022,The Americas and the Caribbean: North America and the Caribbean,{PERCENTAGE}%,of people in {location},have,a North American or Caribbean passport,the americas and the caribbean: north america and the caribbean
Population,Passports held,passports_all_27a,passports_all_27a-023,The Americas and the Caribbean: Central and South America,{PERCENTAGE}%,of people in {location},have,a Central or South American passport,the americas and the caribbean: central and south america
Population,Passports held,passports_all_27a,passports_all_27a-024,"Antarctica and Oceania, including Australasia",{PERCENTAGE}%,of people in {location},have,a passport from Antartica and Oceania (including Australasia),"antarctica and oceania, including australasia"
Population,Passports held,passports_all_27a,passports_all_27a-025,British Overseas Territories,{PERCENTAGE}%,of people in {location},have,a passport from the British Overseas Territories,british overseas territories
Population,Passports held,passports_all_27a,passports_all_27a-026,No passport held,{PERCENTAGE}%,of people in {location},have,no passport,no passport held
Population,Passports held,passports_all_52a,passports_all_52a-001,Europe: United Kingdom,{PERCENTAGE}%,of people in {location},have,a UK passport,europe: united kingdom
Population,Passports held,passports_all_52a,passports_all_52a-002,Europe: Ireland,{PERCENTAGE}%,of people in {location},have,an Irish passport,europe: ireland
Population,Passports held,passports_all_52a,passports_all_52a-003,Europe: Other Europe: EU Member countries: France,{PERCENTAGE}%,of people in {location},have,a French passport,europe: other europe: eu member countries: france
Population,Passports held,passports_all_52a,passports_all_52a-004,Europe: Other Europe: EU Member countries: Germany,{PERCENTAGE}%,of people in {location},have,a German passport,europe: other europe: eu member countries: germany
Population,Passports held,passports_all_52a,passports_all_52a-005,Europe: Other Europe: EU Member countries: Italy,{PERCENTAGE}%,of people in {location},have,an Italian passport,europe: other europe: eu member countries: italy
Population,Passports held,passports_all_52a,passports_all_52a-006,Europe: Other Europe: EU Member countries: Portugal,{PERCENTAGE}%,of people in {location},have,a Portugese passport,europe: other europe: eu member countries: portugal
Population,Passports held,passports_all_52a,passports_all_52a-007,Europe: Other Europe: EU Member countries: Spain,{PERCENTAGE}%,of people in {location},have,a Spanish passport,europe: other europe: eu member countries: spain
Population,Passports held,passports_all_52a,passports_all_52a-008,Europe: Other Europe: EU Member countries: Lithuania,{PERCENTAGE}%,of people in {location},have,a Lithuanian passport,europe: other europe: eu member countries: lithuania
Population,Passports held,passports_all_52a,passports_all_52a-009,Europe: Other Europe: EU Member countries: Poland,{PERCENTAGE}%,of people in {location},have,a Polish passport,europe: other europe: eu member countries: poland
Population,Passports held,passports_all_52a,passports_all_52a-010,Europe: Other Europe: EU Member countries: Romania,{PERCENTAGE}%,of people in {location},have,a Romanian passport,europe: other europe: eu member countries: romania
Population,Passports held,passports_all_52a,passports_all_52a-011,Europe: Other Europe: EU Member countries: Other EU countries,{PERCENTAGE}%,of people in {location},have,a passport from another EU country that,europe: other europe: eu member countries: other eu countries
Population,Passports held,passports_all_52a,passports_all_52a-012,Europe: Other Europe: Rest of Europe: Turkey,{PERCENTAGE}%,of people in {location},have,a Turkish passport,europe: other europe: rest of europe: turkey
Population,Passports held,passports_all_52a,passports_all_52a-013,Europe: Other Europe: Rest of Europe: Other Europe,{PERCENTAGE}%,of people in {location},have,a passport from another European country,europe: other europe: rest of europe: other europe
Population,Passports held,passports_all_52a,passports_all_52a-014,Africa: North Africa,{PERCENTAGE}%,of people in {location},have,a North African passport,africa: north africa
Population,Passports held,passports_all_52a,passports_all_52a-015,Africa: Central and Western Africa: Ghana,{PERCENTAGE}%,of people in {location},have,a Ghanaian passport,africa: central and western africa: ghana
Population,Passports held,passports_all_52a,passports_all_52a-016,Africa: Central and Western Africa: Nigeria,{PERCENTAGE}%,of people in {location},have,a Nigerian passport,africa: central and western africa: nigeria
Population,Passports held,passports_all_52a,passports_all_52a-017,Africa: Central and Western Africa: Other Central and Western Africa,{PERCENTAGE}%,of people in {location},have,a passport from another Central or West African country,africa: central and western africa: other central and western africa
Population,Passports held,passports_all_52a,passports_all_52a-018,Africa: South and Eastern Africa: Kenya,{PERCENTAGE}%,of people in {location},have,a Kenyan passport,africa: south and eastern africa: kenya
Population,Passports held,passports_all_52a,passports_all_52a-019,Africa: South and Eastern Africa: Somalia,{PERCENTAGE}%,of people in {location},have,a Somalian passport,africa: south and eastern africa: somalia
Population,Passports held,passports_all_52a,passports_all_52a-020,Africa: South and Eastern Africa: South Africa,{PERCENTAGE}%,of people in {location},have,a South African passport,africa: south and eastern africa: south africa
Population,Passports held,passports_all_52a,passports_all_52a-021,Africa: South and Eastern Africa: Zimbabwe,{PERCENTAGE}%,of people in {location},have,a Zimbabwean passport,africa: south and eastern africa: zimbabwe
Population,Passports held,passports_all_52a,passports_all_52a-022,Africa: South and Eastern Africa: Other South and Eastern Africa,{PERCENTAGE}%,of people in {location},have,a passport from another South or East African country,africa: south and eastern africa: other south and eastern africa
Population,Passports held,passports_all_52a,passports_all_52a-023,Middle East and Asia: Middle East: Iran,{PERCENTAGE}%,of people in {location},have,an Iranian passport,middle east and asia: middle east: iran
Population,Passports held,passports_all_52a,passports_all_52a-024,Middle East and Asia: Middle East: Iraq,{PERCENTAGE}%,of people in {location},have,an Iraqi passport,middle east and asia: middle east: iraq
Population,Passports held,passports_all_52a,passports_all_52a-025,Middle East and Asia: Middle East: Other Middle East,{PERCENTAGE}%,of people in {location},have,a passport from another Middle Eastern country,middle east and asia: middle east: other middle east
Population,Passports held,passports_all_52a,passports_all_52a-026,Middle East and Asia: Eastern Asia: China,{PERCENTAGE}%,of people in {location},have,a Chinese passport,middle east and asia: eastern asia: china
Population,Passports held,passports_all_52a,passports_all_52a-027,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),{PERCENTAGE}%,of people in {location},have,a passport from Hong Kong,middle east and asia: eastern asia: hong kong (special administrative region of china)
Population,Passports held,passports_all_52a,passports_all_52a-028,Middle East and Asia: Eastern Asia: Japan,{PERCENTAGE}%,of people in {location},have,a Japanese passport,middle east and asia: eastern asia: japan
Population,Passports held,passports_all_52a,passports_all_52a-029,Middle East and Asia: Eastern Asia: Other Eastern Asia,{PERCENTAGE}%,of people in {location},have,a passport from another East Asian country,middle east and asia: eastern asia: other eastern asia
Population,Passports held,passports_all_52a,passports_all_52a-030,Middle East and Asia: Southern Asia: Afghanistan,{PERCENTAGE}%,of people in {location},have,an Afghan passport,middle east and asia: southern asia: afghanistan
Population,Passports held,passports_all_52a,passports_all_52a-031,Middle East and Asia: Southern Asia: Bangladesh,{PERCENTAGE}%,of people in {location},have,a Bangladeshi passport,middle east and asia: southern asia: bangladesh
Population,Passports held,passports_all_52a,passports_all_52a-032,Middle East and Asia: Southern Asia: India,{PERCENTAGE}%,of people in {location},have,an Indian passport,middle east and asia: southern asia: india
Population,Passports held,passports_all_52a,passports_all_52a-033,Middle East and Asia: Southern Asia: Pakistan,{PERCENTAGE}%,of people in {location},have,a Pakistani passport,middle east and asia: southern asia: pakistan
Population,Passports held,passports_all_52a,passports_all_52a-034,Middle East and Asia: Southern Asia: Sri Lanka,{PERCENTAGE}%,of people in {location},have,a Sri Lankan passport,middle east and asia: southern asia: sri lanka
Population,Passports held,passports_all_52a,passports_all_52a-035,Middle East and Asia: Southern Asia: Other Southern Asia,{PERCENTAGE}%,of people in {location},have,a passport from another South Asian country,middle east and asia: southern asia: other southern asia
Population,Passports held,passports_all_52a,passports_all_52a-036,Middle East and Asia: South-East Asia: Malaysia,{PERCENTAGE}%,of people in {location},have,a Malaysian passport,middle east and asia: south-east asia: malaysia
Population,Passports held,passports_all_52a,passports_all_52a-037,Middle East and Asia: South-East Asia: Philippines,{PERCENTAGE}%,of people in {location},have,a Filipino passport,middle east and asia: south-east asia: philippines
Population,Passports held,passports_all_52a,passports_all_52a-038,Middle East and Asia: South-East Asia: Singapore,{PERCENTAGE}%,of people in {location},have,a Singaporean passport,middle east and asia: south-east asia: singapore
Population,Passports held,passports_all_52a,passports_all_52a-039,Middle East and Asia: South-East Asia: Other South-East Asia,{PERCENTAGE}%,of people in {location},have,a passport from another South-East Asian country,middle east and asia: south-east asia: other south-east asia
Population,Passports held,passports_all_52a,passports_all_52a-040,Middle East and Asia: Central Asia,{PERCENTAGE}%,of people in {location},have,a Central Asian passport,middle east and asia: central asia
Population,Passports held,passports_all_52a,passports_all_52a-041,The Americas and the Caribbean: North America: Canada,{PERCENTAGE}%,of people in {location},have,a Canadian passport,the americas and the caribbean: north america: canada
Population,Passports held,passports_all_52a,passports_all_52a-042,The Americas and the Caribbean: North America: United States,{PERCENTAGE}%,of people in {location},have,a United States passport,the americas and the caribbean: north america: united states
Population,Passports held,passports_all_52a,passports_all_52a-043,The Americas and the Caribbean: Central America,{PERCENTAGE}%,of people in {location},have,a Central American passport,the americas and the caribbean: central america
Population,Passports held,passports_all_52a,passports_all_52a-044,The Americas and the Caribbean: South America,{PERCENTAGE}%,of people in {location},have,a South American passport,the americas and the caribbean: south america
Population,Passports held,passports_all_52a,passports_all_52a-045,The Americas and the Caribbean: The Caribbean: Jamaica,{PERCENTAGE}%,of people in {location},have,a Jamaican passport,the americas and the caribbean: the caribbean: jamaica
Population,Passports held,passports_all_52a,passports_all_52a-046,The Americas and the Caribbean: The Caribbean: Other Caribbean,{PERCENTAGE}%,of people in {location},have,a passport from another Caribbean country,the americas and the caribbean: the caribbean: other caribbean
Population,Passports held,passports_all_52a,passports_all_52a-047,Antarctica and Oceania: Australasia: Australia,{PERCENTAGE}%,of people in {location},have,an Australian passport,antarctica and oceania: australasia: australia
Population,Passports held,passports_all_52a,passports_all_52a-048,Antarctica and Oceania: Australasia: New Zealand,{PERCENTAGE}%,of people in {location},have,a New Zealand passport,antarctica and oceania: australasia: new zealand
Population,Passports held,passports_all_52a,passports_all_52a-049,Antarctica and Oceania: Other Antarctica and Oceania,{PERCENTAGE}%,of people in {location},have,a passport from another country in Oceania and Antartica,antarctica and oceania: other antarctica and oceania
Population,Passports held,passports_all_52a,passports_all_52a-050,British Overseas Territories,{PERCENTAGE}%,of people in {location},have,a passport from the British Overseas Territories,british overseas territories
Population,Passports held,passports_all_52a,passports_all_52a-051,No passport held,{PERCENTAGE}%,of people in {location},have,no passport,no passport held
Population,Year of arrival in the UK,year_arrival_uk_6a,year_arrival_uk_6a-001,Born in the UK,{PERCENTAGE}%,of people in {location},were,born in the UK,born in the uk
Population,Year of arrival in the UK,year_arrival_uk_6a,year_arrival_uk_6a-002,Arrived before 1991,{PERCENTAGE}%,of people in {location},arrived,in the UK before 1991,arrived before 1991
Population,Year of arrival in the UK,year_arrival_uk_6a,year_arrival_uk_6a-003,Arrived 1991 to 2000,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1991 and 2000,arrived 1991 to 2000
Population,Year of arrival in the UK,year_arrival_uk_6a,year_arrival_uk_6a-004,Arrived 2001 to 2010,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2001 and 2010,arrived 2001 to 2010
Population,Year of arrival in the UK,year_arrival_uk_6a,year_arrival_uk_6a-005,Arrived 2011 to 2021,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2011 and 2021,arrived 2011 to 2021
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-001,Born in the UK,{PERCENTAGE}%,of people in {location},were,born in the UK,born in the uk
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-002,Arrived before 1951,{PERCENTAGE}%,of people in {location},arrived,in the UK before 1951,arrived before 1951
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-003,Arrived 1951 to 1960,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1951 and 1960,arrived 1951 to 1960
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-004,Arrived 1961 to 1970,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1961 and 1970,arrived 1961 to 1970
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-005,Arrived 1971 to 1980,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1971 and 1980,arrived 1971 to 1980
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-006,Arrived 1981 to 1990,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1981 and 1990,arrived 1981 to 1990
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-007,Arrived 1991 to 2000,{PERCENTAGE}%,of people in {location},arrived,in the UK between 1991 and 2000,arrived 1991 to 2000
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-008,Arrived 2001 to 2010,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2001 and 2010,arrived 2001 to 2010
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-009,Arrived 2011 to 2013,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2011 and 2013,arrived 2011 to 2013
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-010,Arrived 2014 to 2016,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2014 and 2016,arrived 2014 to 2016
Population,Year of arrival in the UK,year_arrival_uk,year_arrival_uk-011,Arrived 2017 to 2019,{PERCENTAGE}%,of people in {location},arrived,in the UK between 2017 and 2019,arrived 2017 to 2019
